[2026-08-12 09:20:38.42] Compiling `test/security/EchidnaMarketAccounting.sol`... Done! (7.000445s)
Analyzing contract: /private/var/folders/gc/k2l60lnx7d59j65323br2fr40000gn/T/cpredict-echidna.ahrT8W/repo/test/security/EchidnaMarketAccounting.sol:EchidnaMarketAccounting
[2026-08-12 09:20:45.57] Running slither on `test/security/EchidnaMarketAccounting.sol`... WARNING: Running slither failed. Echidna will continue, however fuzzing will likely be less effective.

Done! (1.772127s)
Loaded 0 transaction sequences from reports/security/echidna-corpus/reproducers
Loaded 0 transaction sequences from reports/security/echidna-corpus/coverage
[2026-08-12 09:20:47.51] [Worker 0] New coverage: 19939 instr, 23 contracts, 1 seqs in corpus
[2026-08-12 09:20:47.52]  Saved reproducer to reports/security/echidna-corpus/coverage/2078927052962597724.txt
[2026-08-12 09:20:49.79] [Worker 0] New coverage: 19942 instr, 23 contracts, 2 seqs in corpus
[2026-08-12 09:20:49.79]  Saved reproducer to reports/security/echidna-corpus/coverage/141526056126398154.txt
[2026-08-12 09:20:50.40] [status] tests: 0/4, fuzzing: 2708/1000000, values: [], cov: 19942, corpus: 2, gas/s: 76623433
[2026-08-12 09:20:53.40] [status] tests: 0/4, fuzzing: 4872/1000000, values: [], cov: 19942, corpus: 2, gas/s: 59584904
[2026-08-12 09:20:56.40] [status] tests: 0/4, fuzzing: 7134/1000000, values: [], cov: 19942, corpus: 2, gas/s: 63886057
[2026-08-12 09:20:59.40] [status] tests: 0/4, fuzzing: 10395/1000000, values: [], cov: 19942, corpus: 2, gas/s: 90790802
[2026-08-12 09:21:02.41] [status] tests: 0/4, fuzzing: 13375/1000000, values: [], cov: 19942, corpus: 2, gas/s: 83330961
[2026-08-12 09:21:05.41] [status] tests: 0/4, fuzzing: 16190/1000000, values: [], cov: 19942, corpus: 2, gas/s: 77323612
[2026-08-12 09:21:08.06] [Worker 0] New coverage: 19946 instr, 23 contracts, 3 seqs in corpus
[2026-08-12 09:21:08.06]  Saved reproducer to reports/security/echidna-corpus/coverage/1785316332031940382.txt
[2026-08-12 09:21:08.41] [status] tests: 0/4, fuzzing: 19208/1000000, values: [], cov: 19946, corpus: 3, gas/s: 83929673
[2026-08-12 09:21:11.41] [status] tests: 0/4, fuzzing: 21935/1000000, values: [], cov: 19946, corpus: 3, gas/s: 76659617
[2026-08-12 09:21:14.41] [status] tests: 0/4, fuzzing: 23806/1000000, values: [], cov: 19946, corpus: 3, gas/s: 52550004
[2026-08-12 09:21:17.42] [status] tests: 0/4, fuzzing: 25861/1000000, values: [], cov: 19946, corpus: 3, gas/s: 57945607
[2026-08-12 09:21:20.42] [status] tests: 0/4, fuzzing: 28544/1000000, values: [], cov: 19946, corpus: 3, gas/s: 74712213
[2026-08-12 09:21:23.42] [status] tests: 0/4, fuzzing: 31369/1000000, values: [], cov: 19946, corpus: 3, gas/s: 79167180
[2026-08-12 09:21:26.42] [status] tests: 0/4, fuzzing: 33691/1000000, values: [], cov: 19946, corpus: 3, gas/s: 64971513
[2026-08-12 09:21:29.43] [status] tests: 0/4, fuzzing: 36227/1000000, values: [], cov: 19946, corpus: 3, gas/s: 71341796
[2026-08-12 09:21:32.43] [status] tests: 0/4, fuzzing: 38841/1000000, values: [], cov: 19946, corpus: 3, gas/s: 72464214
[2026-08-12 09:21:35.43] [status] tests: 0/4, fuzzing: 41603/1000000, values: [], cov: 19946, corpus: 3, gas/s: 77610423
[2026-08-12 09:21:38.43] [status] tests: 0/4, fuzzing: 44367/1000000, values: [], cov: 19946, corpus: 3, gas/s: 76702031
[2026-08-12 09:21:41.43] [status] tests: 0/4, fuzzing: 47024/1000000, values: [], cov: 19946, corpus: 3, gas/s: 75424401
[2026-08-12 09:21:44.44] [status] tests: 0/4, fuzzing: 49322/1000000, values: [], cov: 19946, corpus: 3, gas/s: 64794526
[2026-08-12 09:21:47.44] [status] tests: 0/4, fuzzing: 51807/1000000, values: [], cov: 19946, corpus: 3, gas/s: 69674141
[2026-08-12 09:21:50.44] [status] tests: 0/4, fuzzing: 54694/1000000, values: [], cov: 19946, corpus: 3, gas/s: 80764159
